category,top_product,brand,dose,serving,servings_per_container,price,cost_per_day,certification,pick_type,catalog_size,has_amazon
selenium,NOW Supplements Selenium 200mcg,NOW Foods,200 mcg,1 capsule,180,7.49,0.04,None,best-value,2,yes
biotin,Nature Made Biotin 2500 mcg Extra Strength,Nature Made,2500 mcg,1 softgel,150,9.49,0.06,USP Verified,best-value,3,yes
vitamin-d3,Nature Made Vitamin D3 2000 IU,Nature Made,2000 mg,1 softgel,250,16.99,0.07,USP Verified,best-value,7,yes
vitamin-b12,Nature Made Vitamin B12 1000 mcg Sublingual Fast Dissolve,Nature Made,1000 mcg,1 fast dissolve tablet,150,14.99,0.1,USP Verified,best-value,5,yes
vitamin-c,Nature Made Vitamin C 1000 mg Extra Strength,Nature Made,1000 mg,1 tablet,100,10.49,0.1,USP Verified,best-value,4,yes
zinc,NOW Foods Zinc Glycinate 30mg (120ct),NOW Foods,30 mg,1 softgel,120,14.29,0.12,None,best-value,3,yes
glucosamine,Doctor's Best Glucosamine Sulfate 750mg,Doctor's Best,750 mg,2 capsules,90,10.99,0.12,None,best-value,2,yes
iron-bisglycinate,Solgar Gentle Iron (Iron Bisglycinate) 25 mg,Solgar,25 mg,1 capsule,90,13.49,0.15,None,best-value,4,yes
calcium-citrate,Citracal Maximum Plus Calcium Citrate with Vitamin D3,Citracal (Bayer),650 mg,2 caplets,90,14.96,0.17,None,best-value,4,yes
methylfolate,Jarrow Formulas Methyl Folate 400 mcg,Jarrow Formulas,400 mcg,1 capsule,60,10.49,0.17,None,best-value,3,yes
curcumin,Nature Made Turmeric Curcumin 500mg,Nature Made,500 mg,1 capsule,60,12.52,0.21,USP Verified,best-value,3,yes
ashwagandha,"Nootropics Depot KSM-66 Ashwagandha (300mg, 90ct)",Nootropics Depot,300 mg,1 capsule,90,19.99,0.22,Third-Party Tested,best-value,4,yes
l-theanine,NOW Foods L-Theanine 200mg with Inositol (120ct),NOW Foods,200 mg,1 capsule,120,25.99,0.22,None,best-value,3,yes
magnesium-glycinate,Vitamin Shoppe Magnesium Glycinate 400mg,The Vitamin Shoppe,400 mg,2 tablets,90,21.99,0.24,None,best-value,6,yes
tongkat-ali,"Nootropics Depot Tongkat Ali 2% Eurycomanone (200mg, 120ct)",Nootropics Depot,200 mg,1 capsule,120,29.99,0.25,Third-Party Tested (HPTLC),best-value,4,yes
creatine,Optimum Nutrition Micronized Creatine Monohydrate (120 servings),Optimum Nutrition,5 g,1 scoop (5g),120,32.36,0.27,Banned Substance Tested,best-value,6,yes
nac,NOW Supplements NAC 600mg,NOW Foods,600 mg,2 capsules,50,13.99,0.28,None,best-value,3,yes
chondroitin,Doctor's Best Glucosamine Chondroitin MSM,Doctor's Best,1500 mg,2 capsules,60,19.9,0.33,None,best-value,2,yes
coq10,Qunol Ultra CoQ10 100mg (Water & Fat Soluble),Qunol,100 mg,1 softgel,120,25.48,0.42,None,best-value,5,yes
omega-3,Sports Research Triple Strength Omega-3 (1250mg),Sports Research,950 mg EPA+DHA,1 softgel,150,31.95,0.45,"IFOS 5-Star, MSC Certified",best-value,6,yes
multivitamin,NATURELO One Daily Multivitamin for Women,NATURELO,0 multi,1 capsule,60,27.95,0.47,None,best-value,3,yes
same,Doctor's Best SAMe 400mg,Doctor's Best,400 mg,1 tablet,60,33.99,0.57,None,best-value,3,yes
collagen,Sports Research Collagen Peptides (Unflavored),Sports Research,11 g collagen,1 scoop (11g),41,25.21,0.61,"Informed Sport, Non-GMO Verified",best-value,3,yes
berberine,NOW Supplements Berberine Glucose Support,NOW Foods,400 mg,3 capsules,30,18.99,0.63,None,best-value,3,yes
probiotics,"Culturelle Daily Probiotic (10B CFU, 30ct)",Culturelle,10 billion CFU,1 capsule,30,22.99,0.77,None,best-value,7,yes
protein,Optimum Nutrition Gold Standard 100% Whey Isolate,Optimum Nutrition,24 g protein,1 scoop (31g),74,62.99,0.85,Informed Sport Certified,best-value,5,yes
myo-inositol,Wholesome Story Myo-Inositol & D-Chiro Inositol 40:1,Wholesome Story,2050 mg,4 capsules,30,29.99,1,None,best-value,2,yes
