name,brand,category,form,dose_per_serving,dose_unit,serving_size,servings_per_container,price_usd,cost_per_day_usd,third_party_certification,evidence_grade,primary_use,pubmed_ids,editorial_pick,amazon_asin
Nature Made Biotin 2500 mcg Extra Strength,Nature Made,biotin,biotin,2500,mcg,1 softgel,150,9.49,0.06,USP Verified,moderate,hair/nail/skin support,,best-value,B00DS5BG52
Sports Research Biotin 5000 mcg with Coconut Oil,Sports Research,biotin,biotin,5000,mcg,1 veggie softgel,120,12.95,0.11,Non-GMO Verified,moderate,hair/nail/skin support,,budget,B00JGCBGZQ
Thorne Biotin-8 (8000 mcg),Thorne,biotin,biotin,8000,mcg,1 capsule,60,18.00,0.30,NSF Certified for Sport,moderate,hair loss (clinical dose),,quality,B0797CG5R8
Citracal Maximum Plus Calcium Citrate with Vitamin D3,Citracal (Bayer),calcium-citrate,citrate,650,mg,2 caplets,90,14.96,0.17,None,strong,bone health / PPI users,16855264,best-value,B001LRPUMY
Solgar Calcium Citrate with Vitamin D3,Solgar,calcium-citrate,citrate,1000,mg,4 tablets,60,19.99,0.17,None,strong,bone health,,budget,B00013YZ2U
NOW Foods Calcium Citrate with Minerals & Vitamin D,NOW Foods,calcium-citrate,citrate,600,mg,2 tablets,125,24.79,0.20,None,strong,bone health,,,B0013OQJ66
Citracal Petites Calcium Citrate with Vitamin D3,Citracal (Bayer),calcium-citrate,citrate,400,mg,2 caplets,100,15.99,0.32,None,strong,bone health,,,B0043ZLTT4
Sports Research Collagen Peptides (Unflavored),Sports Research,collagen,hydrolyzed peptides,11,g collagen,1 scoop (11g),41,25.21,0.61,Informed Sport / Non-GMO Verified,moderate,skin/joint/hair support,,best-value,B00XQ2XGAA
Vital Proteins Collagen Peptides (Unflavored),Vital Proteins,collagen,hydrolyzed peptides,20,g collagen,2 scoops (20g),28,26.99,0.96,NSF Certified for Sport,moderate,skin/joint/hair support,,quality,B00K6JUG4K
Garden of Life Grass Fed Collagen Beauty,Garden of Life,collagen,hydrolyzed peptides,12,g collagen,1 scoop (14g),20,22.39,1.12,Non-GMO Verified,moderate,skin/hair + biotin,,,B0797DNFR8
Doctor's Best High Absorption CoQ10 200mg with BioPerine,Doctor's Best,coq10,ubiquinone,200,mg,1 veggie capsule,60,18.99,0.32,None,strong,statin support / energy,30371340,budget,B0035C5XVQ
Qunol Ultra CoQ10 100mg,Qunol,coq10,ubiquinone,100,mg,1 softgel,120,25.48,0.42,None,strong,statin support / energy,30371340,best-value,B0055OUOQQ
Jarrow Formulas QH-Absorb Ubiquinol 100mg,Jarrow Formulas,coq10,ubiquinol,100,mg,1 softgel,120,39.95,0.67,None,strong,statin support / heart,30371340;27128225,quality,B004VCOOUU
NOW Foods Ubiquinol 200mg Extra Strength,NOW Foods,coq10,ubiquinol,200,mg,1 softgel,60,46.99,0.78,None,strong,statin support / heart,30371340,,B003PWKVKE
Life Extension Super Ubiquinol CoQ10 100mg,Life Extension,coq10,ubiquinol,100,mg,1 softgel,60,42.00,1.40,None,strong,mitochondrial support,30371340,,B00H4HT0EE
BulkSupplements Micronized Creatine Monohydrate,BulkSupplements.com,creatine,monohydrate,5,g,1 scoop (5g),100,15.96,0.16,cGMP Facility / Third-Party Tested,strong,muscle/cognitive,,, B00E9M4XFI
NOW Sports Creatine Monohydrate Powder,NOW Foods,creatine,monohydrate,5,g,1 rounded tsp (5g),120,19.99,0.17,NPA GMP Certified,strong,muscle/cognitive,,budget,B0013OUOBM
Optimum Nutrition Micronized Creatine Monohydrate,Optimum Nutrition,creatine,monohydrate,5,g,1 scoop (5g),120,32.36,0.27,Banned Substance Tested,strong,muscle/cognitive,,best-value,B002DYIZEO
Momentous Creatine Monohydrate (Creapure),Momentous,creatine,monohydrate (Creapure),5,g,1 scoop (5g),90,39.95,0.44,NSF Certified for Sport / Informed Sport,strong,muscle/cognitive,,,B085Z9P87K
Thorne Creatine (Creapure),Thorne,creatine,monohydrate (Creapure),5,g,1 scoop (5g),90,42.00,0.47,NSF Certified for Sport,strong,muscle/cognitive,,quality,B07978VPPH
Transparent Labs Creatine HMB,Transparent Labs,creatine,monohydrate + HMB,5,g,1 scoop (12.7g),30,49.99,1.67,Informed Choice Certified,strong,muscle/cognitive + HMB,,,B078JZQ5QL
NOW Foods Iron 36 mg Double Strength (Ferrochel),NOW Foods,iron-bisglycinate,bisglycinate,36,mg,1 capsule,90,12.99,0.14,None,strong,iron deficiency / anemia,,budget,B00FYOU6AG
Solgar Gentle Iron 25 mg,Solgar,iron-bisglycinate,bisglycinate,25,mg,1 capsule,90,13.49,0.15,None,strong,iron deficiency / anemia,,best-value,B005P0TJ84
